epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,4286.94,0.80507,0.57273,1.12198,0.8216,0.78723,0.84679,0.58487,1.05419,0.79333,1.41161,0.000628101,0.000628101,0.000628101
128,4319.86,0.81022,0.6026,1.13347,0.85928,0.77953,0.86154,0.60089,1.0388,0.72818,1.39816,0.000623074,0.000623074,0.000623074
129,4352.97,0.77485,0.58298,1.13031,0.83947,0.80674,0.85118,0.58396,1.07119,0.75343,1.44556,0.000618034,0.000618034,0.000618034
130,4386.11,0.80037,0.58444,1.13496,0.80575,0.83109,0.8388,0.57392,1.08295,0.78574,1.4379,0.000612981,0.000612981,0.000612981
131,4419.24,0.80711,0.58145,1.13289,0.83372,0.80674,0.85875,0.59003,1.05758,0.75335,1.41627,0.000607916,0.000607916,0.000607916
132,4452.05,0.76822,0.57928,1.13895,0.86383,0.80674,0.86422,0.59334,1.04892,0.74739,1.41611,0.00060284,0.00060284,0.00060284
133,4496.15,0.80212,0.57349,1.13197,0.85181,0.80496,0.86265,0.59097,1.06404,0.72963,1.42189,0.000597754,0.000597754,0.000597754
134,4528.94,0.75752,0.56588,1.117,0.85337,0.80142,0.85357,0.59422,1.03347,0.76154,1.41929,0.000592657,0.000592657,0.000592657
135,4561.86,0.77031,0.58107,1.12992,0.81775,0.81149,0.84314,0.5845,1.04757,0.77837,1.41317,0.000587551,0.000587551,0.000587551
136,4594.86,0.76724,0.57874,1.12328,0.83721,0.80319,0.85974,0.60415,1.02867,0.76021,1.40429,0.000582435,0.000582435,0.000582435
137,4628.08,0.76458,0.56777,1.1179,0.88014,0.78119,0.86258,0.59229,1.05755,0.76298,1.42337,0.000577311,0.000577311,0.000577311
138,4660.84,0.76886,0.57693,1.13733,0.8418,0.79255,0.85018,0.58002,1.07397,0.77919,1.44385,0.000572179,0.000572179,0.000572179
139,4693.86,0.76653,0.56995,1.13029,0.83424,0.81203,0.85373,0.59544,1.04646,0.77215,1.41298,0.00056704,0.00056704,0.00056704
140,4742.35,0.77763,0.56789,1.12677,0.8431,0.80982,0.85599,0.59808,1.05805,0.76426,1.42012,0.000561894,0.000561894,0.000561894
141,4775.25,0.76641,0.58458,1.13148,0.86692,0.7695,0.85115,0.59816,1.04407,0.75176,1.42184,0.000556742,0.000556742,0.000556742
142,4808.44,0.7958,0.54601,1.08088,0.86029,0.8156,0.86421,0.60867,1.00593,0.70966,1.39259,0.000551584,0.000551584,0.000551584
143,4841.72,0.78163,0.56185,1.11252,0.88028,0.7822,0.8591,0.5922,1.05414,0.75694,1.40815,0.000546421,0.000546421,0.000546421
144,4874.77,0.74913,0.54634,1.10098,0.87973,0.77837,0.85203,0.58047,1.05936,0.7738,1.45562,0.000541253,0.000541253,0.000541253
145,4907.69,0.7208,0.52777,1.07534,0.83022,0.80633,0.86122,0.58855,1.0538,0.76472,1.43059,0.000536081,0.000536081,0.000536081
146,4940.83,0.74999,0.54892,1.10084,0.87328,0.80142,0.86839,0.59161,1.04176,0.75835,1.41436,0.000530906,0.000530906,0.000530906
147,4973.9,0.74339,0.54214,1.1133,0.8573,0.77482,0.85828,0.58961,1.05153,0.76189,1.42974,0.000525728,0.000525728,0.000525728
148,5006.98,0.75473,0.55115,1.11828,0.84839,0.79965,0.86931,0.5938,1.04692,0.75508,1.43039,0.000520548,0.000520548,0.000520548
149,5039.98,0.76245,0.54962,1.10063,0.85308,0.78901,0.85576,0.59051,1.07047,0.75542,1.44824,0.000515366,0.000515366,0.000515366
150,5073.17,0.75337,0.53925,1.09596,0.81244,0.8218,0.85476,0.595,1.03306,0.73718,1.41884,0.000510184,0.000510184,0.000510184
151,5111.3,0.72952,0.53448,1.09398,0.86189,0.81877,0.87428,0.59457,1.0643,0.71722,1.43187,0.000505,0.000505,0.000505
152,5144.19,0.75255,0.54235,1.08782,0.86103,0.79098,0.85902,0.58819,1.06082,0.76245,1.42323,0.000499816,0.000499816,0.000499816
153,5177.29,0.76523,0.55413,1.10552,0.85633,0.8032,0.85515,0.59371,1.03385,0.74075,1.42108,0.000494634,0.000494634,0.000494634
154,5210.4,0.71786,0.51254,1.06652,0.89963,0.76279,0.85542,0.59093,1.05155,0.7443,1.423,0.000489452,0.000489452,0.000489452
155,5243.45,0.7498,0.53917,1.08688,0.87867,0.77305,0.8614,0.59158,1.04458,0.75711,1.41999,0.000484272,0.000484272,0.000484272
156,5276.22,0.74092,0.54347,1.08497,0.84268,0.77305,0.8474,0.58748,1.03559,0.76355,1.40581,0.000479094,0.000479094,0.000479094
157,5309.35,0.74073,0.54506,1.10538,0.86543,0.75355,0.85389,0.5877,1.03741,0.76866,1.42589,0.000473919,0.000473919,0.000473919
